age,Frequency
2,4
4,4
9,1
16,1
17,1
18,1
19,1
21,1
24,1
25,2
26,2
27,2
29,2
30,5
31,1
32,9
33,5
34,4
35,7
36,8
37,3
38,4
39,10
40,8
41,10
42,9
43,11
44,16
45,16
46,18
47,16
48,20
49,19
50,17
51,17
52,12
53,15
54,18
55,19
56,19
57,19
58,20
59,21
60,19
61,20
62,16
63,20
64,17
65,21
66,19
67,18
68,17
69,18
70,18
71,18
72,20
73,18
74,17
75,13
76,16
77,18
78,12
79,15
80,15
81,7
82,10
83,6
84,2
85,5
86,1
87,3
88,2
89,1
100,1
